City,State,Number of Killed,% of killed who carried gun,% of killed who were unarmed,% of killed who were race A,% of killed who were race B,% of killed who were race H,% of killed who were race N,% of killed who were race O,% of killed who had sign of mental illness,% of killed who were male,% of killed who attacked,% of killed whose threat undertermined,% of killed who were fleeing,% of killed whose killer had body camera on,% of killed age 10 and below,% of killed 30 and below,% of killed 50 and below
Orrington,ME,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
Oshkosh,WI,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,1,1
Oshtemo Township,MI,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
Osteen,FL,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
Ouachita Parish,LA,2,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
Overland Park,KS,3,0.666666667,0,0,0.333333333,0,0,0,0.333333333,1,0.666666667,0,0.666666667,0,0,0.333333333,1
Overlea,MD,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1
Owasso,OK,1,1,0,0,0,0,1,0,1,1,1,0,0,1,0,0,1
Owen County,IN,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1
Owensboro,KY,2,0.5,0,0,0.5,0,0,0,0,1,1,0,0,0,0,0.5,1
Owings Mills,MD,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1
Owingsville,KY,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1
Oxford,AL,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1
Oxford,MA,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
Oxford,MS,3,0.666666667,0,0,0,0,0,0,0,1,0.666666667,0,0.666666667,0.333333333,0,0,1
Oxnard,CA,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
Oxon Hill,MD,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1
Ozark,AL,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1
Ozark,AR,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1
Ozark,MO,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Pacific Beach,CA,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1
Paddock Lake,WI,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
Paducah,KY,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1
Pahoa,HI,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1
Pahrump,NV,3,1,0,0,0,0,0,0,0.333333333,1,1,0,0,0.666666667,0,0.333333333,0.666666667
Palatka,FL,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0.5,1
Palermo,CA,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1
Palestine,TX,2,0.5,0,0,0,0,0,0,0,1,1,0,0.5,0.5,0,0,1
Palm Bay,FL,3,1,0,0,0.333333333,0.333333333,0,0,0.666666667,1,1,0,0,0,0,0,1
Palm Beach Gardens,FL,2,1,0,0,0.5,0.5,0,0,0,1,0.5,0.5,0,0,0,0,0.5
Palm City,FL,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1
Palm Desert,CA,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
Palm Harbor,FL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
Palm Springs,CA,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1
Palmdale,CA,5,0.6,0.2,0,0.4,0.4,0,0,0,1,0.4,0,0.4,0,0,0.8,1
Palmer,AK,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1
Palmetto,FL,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1
Palo Alto,CA,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1
Panama City Beach,FL,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
Panama City,FL,2,1,0,0,0.5,0,0,0,0,1,1,0,0,0,0,0,1
Panhandle,TX,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1
Panora,IA,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
Panorama City,CA,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1
Papaaloa,HI,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Paradise Valley,AZ,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Paradise,CA,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1
Pardeeville,WI,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Paris,KY,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
Paris,TX,3,0.333333333,0.333333333,0,0,0,0,0,0,1,0.666666667,0,0,0,0,0.666666667,1
Park County,CO,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1
Parker,AZ,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
Parker,CO,2,1,0,0,0,0,0,0,0.5,1,1,0,0.5,0.5,0,0,1
Parkland,WA,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1
Parks,AZ,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
Parkton,NC,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1
Parkville,MD,2,0.5,0,0,0.5,0,0,0,0.5,1,1,0,0.5,0.5,0,0.5,0.5
Parma,OH,3,0.666666667,0,0,0,0,0,0,0,1,1,0,0.333333333,0,0,0.333333333,1
Parmelee,SD,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Parowan,UT,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
Pasadena,CA,4,0.75,0,0.25,0.5,0.25,0,0,0.25,0.75,0.25,0,0.5,0.75,0,0,1
Pasadena,TX,2,0.5,0,0,0,0.5,0,0,0.5,1,1,0,1,0.5,0,0,0.5
Pascagoula,MS,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
Pasco,WA,3,0.333333333,0.333333333,0,0,1,0,0,0.333333333,1,0.666666667,0,0.333333333,0,0,0.666666667,1
Paso Robles,CA,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1
Passaic,NJ,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1
Paterson,NJ,5,0.8,0,0,0.4,0.2,0,0,0.6,1,0.6,0.2,0,0,0,0,0.8
Pattison,TX,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Paulden,AZ,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
Paulding County,GA,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1
Pavilion Township,MI,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1
Pawtucket,RI,2,0.5,0,0,1,0,0,0,0,1,1,0,0.5,0,0,1,1
Payson,AZ,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
Peachland,NC,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
Peachtree City,GA,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
Pearisburg,VA,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1
Pearl River County,MS,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1
Pearl,MS,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1
Pearland,TX,4,1,0,0,0,0.25,0,0,0.25,0.75,0.75,0,0,0,0,0,0.25
Pearson,GA,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
Pelehatchie,MS,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1
Pelion,SC,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Pell City,AL,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1
Pelzer,SC,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1
Pemberton,NJ,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
Pembine,WI,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1
Pembroke,NC,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
Pembroke,NY,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0
Penasco,NM,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
Pendleton,SC,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1
Penn Hills,PA,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,1,1
Penn Township,PA,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Pennfield Township,MI,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
Pennsburg,PA,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
Pensacola,FL,5,0.6,0,0,0.6,0,0,0,0,1,0.6,0,0.6,0,0,0.4,0.6
Pentress,WV,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1
Peoria,AZ,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1
Peoria,IL,3,1,0,0,0.666666667,0.333333333,0,0,0.333333333,1,0.333333333,0,0.666666667,0,0,0.666666667,1
Perdido Key,FL,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
Perris,CA,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Perry Township,OH,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
Perryopolis,PA,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
Perryville,AR,2,0.5,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,1
Peshtigo,WI,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1
Petal,MS,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1
Peterborough,NH,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1
Peterson,MN,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
Petroleum,WV,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
Pettis County,MO,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
Pharr,TX,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
Phelps,KY,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1
Phenix City,AL,4,0.25,0,0,0.25,0,0,0,0,0.75,0.5,0.25,0.75,0.25,0,0.5,1
Philadelphia,PA,21,0.571428571,0.142857143,0,0.80952381,0.047619048,0,0,0.142857143,1,0.666666667,0,0.428571429,0.142857143,0,0.380952381,1
Philadephia,PA,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
Philipsburg,MT,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
Phoenix,AZ,88,0.647727273,0.079545455,0,0.159090909,0.329545455,0.045454545,0,0.147727273,0.943181818,0.693181818,0.011363636,0.363636364,0.136363636,0,0.443181818,0.931818182
Phoenix,MD,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
Pico Rivera,CA,2,0.5,0,0.5,0,0.5,0,0,0.5,1,0.5,0,0.5,0,0,0.5,1
Picture Rocks,AZ,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
Piedmont,AL,2,1,0,0,0,0,0,0,0.5,1,0.5,0,0.5,0,0,0.5,1
Piedmont,SC,2,0.5,0,0,0,0,0,0,0.5,1,0.5,0,0,0,0,0,1
Pigeon Forge,TN,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Pike County,OH,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
Pikesville,MD,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1
Pilot Station,AK,1,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,1
Pima County,AZ,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Pima,AZ,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
Pine Bluff,AR,3,1,0,0,0.666666667,0,0,0,0,1,1,0,0.666666667,0.333333333,0,0.333333333,1
Pine County,MN,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0,1,1
Pine River,WI,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1
Pine Top,KY,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Pinellas Park,FL,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
Pinetop,AZ,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1
Pinetop-Lakeside,AZ,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
Pineville,LA,3,0.666666667,0,0,0.333333333,0,0,0,0.333333333,1,0.666666667,0.333333333,0.333333333,0,0,0.333333333,1
Pinion Hills,CA,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1
Pink,OK,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Pinnacle,NC,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
Pippa Passes,KY,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1
Pittsburg,CA,2,1,0,0,0.5,0.5,0,0,0,1,0.5,0,0.5,0.5,0,0,1
Pittsburg,OK,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1
Pittsburgh,PA,5,0.8,0.2,0,1,0,0,0,0,1,0.8,0.2,0.6,0,0,0.6,1
Pittsfield,MA,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1
Pittston,PA,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
Plainview,TX,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1
Plano,TX,3,0.666666667,0,0,0,0.333333333,0,0,0,0.666666667,1,0,0,0,0,0.333333333,0.666666667
Plant City,FL,2,0,0,0,0,0.5,0,0,0,1,0.5,0,1,0,0,0.5,1
Plantation,FL,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1
Plaquemine,LA,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
Pleasant Hill,NC,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
Pleasant View,CO,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1
Pleasanton,CA,2,0,0.5,0,0,0,0,0,0.5,1,1,0,0.5,0.5,0,0.5,1
Plymouth Township,MI,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0
Plymouth Township,PA,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1
Plymouth,MN,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1
Pocahontas County,WV,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1
Pocatello,ID,3,0.666666667,0,0,0,0,0,0,0,1,0.333333333,0,0.666666667,0.333333333,0,0.333333333,0.333333333
Poinciana,FL,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1
Point Loma,CA,2,0,0.5,0,0.5,0,0,0,0,1,0.5,0,0,0,0,1,1
Polk County,OR,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1
Polkton,NC,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1
Pollocksville,NC,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
Pomona,CA,4,0.5,0,0,0.5,0.5,0,0,0.25,1,0.5,0.25,0.75,0,0,0.25,1
Pompano Beach,FL,3,0.666666667,0,0,0.666666667,0.333333333,0,0,0,1,0.666666667,0,0,0,0,0,1
Ponca City,OK,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Ponder,TX,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
Pontotoc County,MS,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1
Pope County,AR,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1
Poplar Bluff,MO,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Port Allen,LA,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1
Port Arthur,TX,2,0.5,0,0,1,0,0,0,0,1,0,0,0.5,0,0,0,1
Port Barre,LA,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1
Port Charlotte,FL,2,1,0,0,0,0,0,0,0.5,1,1,0,0.5,0,0,0,0.5
Port Jervis,NY,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
Port Orange,FL,2,1,0,0,0,0,0,0,0,1,1,0,0.5,0.5,0,0,1
Port Orchard,WA,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1
Port Richey,FL,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
Port St. Joe,FL,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
Port St. Lucie,FL,3,0.333333333,0,0,0.666666667,0,0,0,0.666666667,1,0.333333333,0,0,0,0,0.666666667,0.666666667
Port Wentworth,GA,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1
Portage,IN,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1
Portage,MI,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1
Porteau,OK,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1
Porterdale,GA,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
Porterville,CA,2,0,0,0,0,1,0,0,0.5,1,0.5,0,0,0,0,0.5,1
Portland,IN,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1
Portland,ME,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1
Portland,OR,17,0.294117647,0,0,0.235294118,0,0,0,0.352941176,1,0.411764706,0.176470588,0.235294118,0,0,0.294117647,1
Portsmouth,VA,3,0.333333333,0.333333333,0,1,0,0,0,0.333333333,1,0.333333333,0.333333333,0.333333333,0,0,1,1
Poteau,OK,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Poteet,TX,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
Potomac,MD,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1
Potsdam,NY,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1
Pottawatomie County,OK,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1
Pottstown,PA,2,0.5,0,0,0.5,0,0,0,0.5,1,0.5,0,0,0,0,0,0.5
Poulsbo,WA,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1
Poultney,VT,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1
Powatan Point,OH,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
Poway,CA,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1
Powder Springs,GA,2,0,0,0,0.5,0,0,0,0,1,0,0.5,0.5,0,0,0.5,1
Powhatan County,VA,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Prague,OK,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1
Pratt,KS,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1
Prescott Valley,AZ,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
Prescott,AZ,2,1,0,0,0,0,0,0,0.5,1,1,0,0,0.5,0,0,0.5
Presque Isle,ME,2,0,0,0,0,0,0,0.5,0,1,0,0,0,0,0,1,1
Preston,ID,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1
Prichard,AL,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1
Pride,LA,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1
Princeton,KY,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,1,1
Princeton,NJ,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
Princeton,WV,2,0,0,0,0,0,0,0,0.5,1,0,0,0.5,0,0,1,1
Progreso,TX,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
Prompton,PA,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1
Providence,RI,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1
Provo,UT,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1
Pryor,OK,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1
Pueblo of Laguna,NM,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1
